airport_icao,operation_hour_utc,observed_arrivals_count,unique_arrival_aircraft_count,observed_departures_count,unique_departure_aircraft_count,total_flights_observed,total_unique_aircraft_observed
LEBL,2026-03-07 00:00:00+00:00,8,8,4,4,12,12
LEBL,2026-03-07 01:00:00+00:00,4,4,0,0,4,4
LEBL,2026-03-07 03:00:00+00:00,1,1,0,0,1,1
LEBL,2026-03-07 04:00:00+00:00,1,1,4,4,5,5
LEBL,2026-03-07 05:00:00+00:00,2,2,19,19,21,21
LEBL,2026-03-07 06:00:00+00:00,11,11,36,36,47,47
LEBL,2026-03-07 07:00:00+00:00,31,31,16,16,47,47
LEBL,2026-03-07 08:00:00+00:00,31,31,21,21,52,52
LEBL,2026-03-07 09:00:00+00:00,24,24,33,33,57,57
LEBL,2026-03-07 10:00:00+00:00,33,33,31,31,64,64
LEBL,2026-03-07 11:00:00+00:00,20,20,33,33,53,53
LEBL,2026-03-07 12:00:00+00:00,23,23,28,28,51,51
LEBL,2026-03-07 13:00:00+00:00,23,23,23,23,46,46
LEBL,2026-03-07 14:00:00+00:00,22,22,26,26,48,48
LEBL,2026-03-07 15:00:00+00:00,25,25,22,22,47,47
LEBL,2026-03-07 16:00:00+00:00,32,32,21,21,53,53
LEBL,2026-03-07 17:00:00+00:00,29,29,31,31,60,60
LEBL,2026-03-07 18:00:00+00:00,20,20,22,22,42,42
LEBL,2026-03-07 19:00:00+00:00,22,22,21,21,43,43
LEBL,2026-03-07 20:00:00+00:00,14,14,17,17,31,31
LEBL,2026-03-07 21:00:00+00:00,18,18,8,8,26,26
LEBL,2026-03-07 22:00:00+00:00,22,22,2,2,24,24
LEBL,2026-03-07 23:00:00+00:00,9,9,1,1,10,10
