airport_icao,operation_hour_utc,observed_arrivals_count,unique_arrival_aircraft_count,observed_departures_count,unique_departure_aircraft_count,total_flights_observed,total_unique_aircraft_observed
LEMD,2026-03-07 00:00:00+00:00,3,3,4,4,7,7
LEMD,2026-03-07 01:00:00+00:00,1,1,1,1,2,2
LEMD,2026-03-07 02:00:00+00:00,3,3,2,2,5,5
LEMD,2026-03-07 03:00:00+00:00,10,10,2,2,12,12
LEMD,2026-03-07 04:00:00+00:00,10,10,2,2,12,12
LEMD,2026-03-07 05:00:00+00:00,6,6,25,25,31,31
LEMD,2026-03-07 06:00:00+00:00,18,18,45,45,63,63
LEMD,2026-03-07 07:00:00+00:00,27,27,20,20,47,47
LEMD,2026-03-07 08:00:00+00:00,42,42,28,28,70,70
LEMD,2026-03-07 09:00:00+00:00,50,50,38,38,88,88
LEMD,2026-03-07 10:00:00+00:00,23,23,37,37,60,60
LEMD,2026-03-07 11:00:00+00:00,32,32,43,43,75,75
LEMD,2026-03-07 12:00:00+00:00,41,41,28,28,69,69
LEMD,2026-03-07 13:00:00+00:00,45,45,15,15,60,60
LEMD,2026-03-07 14:00:00+00:00,30,30,45,45,75,75
LEMD,2026-03-07 15:00:00+00:00,18,18,57,57,75,75
LEMD,2026-03-07 16:00:00+00:00,20,20,25,25,45,45
LEMD,2026-03-07 17:00:00+00:00,39,39,21,21,60,60
LEMD,2026-03-07 18:00:00+00:00,29,29,28,28,57,57
LEMD,2026-03-07 19:00:00+00:00,26,26,36,36,62,62
LEMD,2026-03-07 20:00:00+00:00,28,28,15,15,43,43
LEMD,2026-03-07 21:00:00+00:00,36,36,14,14,50,50
LEMD,2026-03-07 22:00:00+00:00,15,15,7,7,22,22
LEMD,2026-03-07 23:00:00+00:00,5,5,10,10,15,15
