airport_icao,operation_hour_utc,observed_arrivals_count,unique_arrival_aircraft_count,observed_departures_count,unique_departure_aircraft_count,total_flights_observed,total_unique_aircraft_observed
LEPA,2026-03-07 00:00:00+00:00,1,1,1,1,2,2
LEPA,2026-03-07 03:00:00+00:00,1,1,0,0,1,1
LEPA,2026-03-07 04:00:00+00:00,0,0,5,5,5,5
LEPA,2026-03-07 05:00:00+00:00,2,2,5,5,7,7
LEPA,2026-03-07 06:00:00+00:00,9,9,12,12,21,21
LEPA,2026-03-07 07:00:00+00:00,13,13,14,14,27,27
LEPA,2026-03-07 08:00:00+00:00,18,18,14,14,32,32
LEPA,2026-03-07 09:00:00+00:00,16,16,14,14,30,30
LEPA,2026-03-07 10:00:00+00:00,13,13,19,19,32,32
LEPA,2026-03-07 11:00:00+00:00,18,18,16,16,34,34
LEPA,2026-03-07 12:00:00+00:00,8,8,13,13,21,21
LEPA,2026-03-07 13:00:00+00:00,6,6,8,8,14,14
LEPA,2026-03-07 14:00:00+00:00,11,11,8,8,19,19
LEPA,2026-03-07 15:00:00+00:00,5,5,12,12,17,17
LEPA,2026-03-07 16:00:00+00:00,14,14,6,6,20,20
LEPA,2026-03-07 17:00:00+00:00,7,7,13,13,20,20
LEPA,2026-03-07 18:00:00+00:00,9,9,12,12,21,21
LEPA,2026-03-07 19:00:00+00:00,8,8,12,12,20,20
LEPA,2026-03-07 20:00:00+00:00,4,4,3,3,7,7
LEPA,2026-03-07 21:00:00+00:00,5,5,4,4,9,9
LEPA,2026-03-07 22:00:00+00:00,5,5,1,1,6,6
LEPA,2026-03-07 23:00:00+00:00,1,1,0,0,1,1
