airport_icao,operation_hour_utc,observed_arrivals_count,unique_arrival_aircraft_count,observed_departures_count,unique_departure_aircraft_count,total_flights_observed,total_unique_aircraft_observed,temperature_2m_c,relative_humidity_2m_pct,precipitation_mm,wind_speed_10m_kmh,is_rainy_hour,is_high_wind_hour,is_high_traffic_hour,operation_date
LEBL,2026-03-07 00:00:00+00:00,8,8,4,4,12,12,12.2,95,0.1,19.3,True,False,False,2026-03-07
LEBL,2026-03-07 01:00:00+00:00,4,4,0,0,4,4,12.2,95,7.6,18.2,True,False,False,2026-03-07
LEBL,2026-03-07 03:00:00+00:00,1,1,0,0,1,1,11.9,97,4.8,12.3,True,False,False,2026-03-07
LEBL,2026-03-07 04:00:00+00:00,1,1,4,4,5,5,11.4,95,3.5,14.5,True,False,False,2026-03-07
LEBL,2026-03-07 05:00:00+00:00,2,2,19,19,21,21,11.6,91,2.3,6.1,True,False,False,2026-03-07
LEBL,2026-03-07 06:00:00+00:00,11,11,36,36,47,47,11.4,90,0.0,2.3,False,False,False,2026-03-07
LEBL,2026-03-07 07:00:00+00:00,31,31,16,16,47,47,11.6,89,0.1,1.2,True,False,False,2026-03-07
LEBL,2026-03-07 08:00:00+00:00,31,31,21,21,52,52,13.1,89,0.0,3.3,False,False,True,2026-03-07
LEBL,2026-03-07 09:00:00+00:00,24,24,33,33,57,57,13.9,76,0.3,7.4,True,False,True,2026-03-07
LEBL,2026-03-07 10:00:00+00:00,33,33,31,31,64,64,13.7,76,0.1,6.5,True,False,True,2026-03-07
LEBL,2026-03-07 11:00:00+00:00,20,20,33,33,53,53,14.3,71,0.1,5.0,True,False,True,2026-03-07
LEBL,2026-03-07 12:00:00+00:00,23,23,28,28,51,51,13.7,77,0.1,8.8,True,False,False,2026-03-07
LEBL,2026-03-07 13:00:00+00:00,23,23,23,23,46,46,13.5,76,0.0,11.2,False,False,False,2026-03-07
LEBL,2026-03-07 14:00:00+00:00,22,22,26,26,48,48,12.4,79,0.6,11.0,True,False,False,2026-03-07
