icao24,callsign,first_seen_unix,last_seen_unix,departure_airport_icao,arrival_airport_icao,observed_arrival_time_utc,observed_arrival_hour_utc
4d227c,RYR35PY,1772922886,1772927833,LPPT,LEBL,2026-03-07 23:57:13+00:00,2026-03-07 23:00:00+00:00
345042,VLG6DA,1772921047,1772926820,,LEBL,2026-03-07 23:40:20+00:00,2026-03-07 23:00:00+00:00
c06927,KNT911,1772919371,1772926299,,LEBL,2026-03-07 23:31:39+00:00,2026-03-07 23:00:00+00:00
346355,VLG9HK,1772921145,1772925836,LECO,LEBL,2026-03-07 23:23:56+00:00,2026-03-07 23:00:00+00:00
4d223f,RYR866,1772920410,1772925593,LIPZ,LEBL,2026-03-07 23:19:53+00:00,2026-03-07 23:00:00+00:00
4d2209,RYR323Y,1772918257,1772925273,EGCC,LEBL,2026-03-07 23:14:33+00:00,2026-03-07 23:00:00+00:00
342396,VLG7DZ,1772919676,1772925002,,LEBL,2026-03-07 23:10:02+00:00,2026-03-07 23:00:00+00:00
3472c4,VLG16DM,1772920035,1772924573,LEST,LEBL,2026-03-07 23:02:53+00:00,2026-03-07 23:00:00+00:00
4cac56,RYR56SQ,1772916665,1772924418,EPKK,LEBL,2026-03-07 23:00:18+00:00,2026-03-07 23:00:00+00:00
345108,VLG44NP,1772922737,1772924307,LEPA,LEBL,2026-03-07 22:58:27+00:00,2026-03-07 22:00:00+00:00
348206,VLG1EN,1772919161,1772923968,LPPT,LEBL,2026-03-07 22:52:48+00:00,2026-03-07 22:00:00+00:00
344158,VLG84DB,1772914056,1772923777,LGAV,LEBL,2026-03-07 22:49:37+00:00,2026-03-07 22:00:00+00:00
3451d5,VLG3LU,1772920951,1772923668,,LEBL,2026-03-07 22:47:48+00:00,2026-03-07 22:00:00+00:00
342592,VLG7829,1772917444,1772923527,EGKK,LEBL,2026-03-07 22:45:27+00:00,2026-03-07 22:00:00+00:00
344645,VLG48LK,1772917076,1772923401,EGLL,LEBL,2026-03-07 22:43:21+00:00,2026-03-07 22:00:00+00:00
345204,VLG8TU,1772917720,1772923163,LIPZ,LEBL,2026-03-07 22:39:23+00:00,2026-03-07 22:00:00+00:00
4ca570,RYR3175,1772920880,1772923068,LEIB,LEBL,2026-03-07 22:37:48+00:00,2026-03-07 22:00:00+00:00
346691,VLG2474,1772899417,1772922997,LEBL,LEBL,2026-03-07 22:36:37+00:00,2026-03-07 22:00:00+00:00
346690,VLG8985,1772916641,1772922858,EBMB,LEBL,2026-03-07 22:34:18+00:00,2026-03-07 22:00:00+00:00
4951d8,TAP1040,1772917339,1772922748,LPPT,LEBL,2026-03-07 22:32:28+00:00,2026-03-07 22:00:00+00:00
345359,VLG1QH,1772915866,1772922589,EHAM,LEBL,2026-03-07 22:29:49+00:00,2026-03-07 22:00:00+00:00
34744c,VLG6JB,1772917250,1772922562,LFPG,LEBL,2026-03-07 22:29:22+00:00,2026-03-07 22:00:00+00:00
348508,VLG9GJ,1772918840,1772922435,,LEBL,2026-03-07 22:27:15+00:00,2026-03-07 22:00:00+00:00
345207,VLG6337,1772917848,1772922265,LIMC,LEBL,2026-03-07 22:24:25+00:00,2026-03-07 22:00:00+00:00
343386,VLG74HP,1772917846,1772922204,LFRS,LEBL,2026-03-07 22:23:24+00:00,2026-03-07 22:00:00+00:00
48c12f,RYR87AA,1772913739,1772921898,EIDW,LEBL,2026-03-07 22:18:18+00:00,2026-03-07 22:00:00+00:00
34535a,VLG37EW,1772916780,1772921811,LFPO,LEBL,2026-03-07 22:16:51+00:00,2026-03-07 22:00:00+00:00
4baa79,THY5GM,1772910520,1772921746,LTFM,LEBL,2026-03-07 22:15:46+00:00,2026-03-07 22:00:00+00:00
344699,VLG45F,1772914314,1772921513,LKPR,LEBL,2026-03-07 22:11:53+00:00,2026-03-07 22:00:00+00:00
440484,EJU45PA,1772914286,1772921400,EGGD,LEBL,2026-03-07 22:10:00+00:00,2026-03-07 22:00:00+00:00
345041,VLG3219,1772911261,1772921290,GCXO,LEBL,2026-03-07 22:08:10+00:00,2026-03-07 22:00:00+00:00
3444d1,VLG9MC,1772915283,1772920643,LSZH,LEBL,2026-03-07 21:57:23+00:00,2026-03-07 21:00:00+00:00
3c6551,LHX05X,1772914412,1772920557,EDDM,LEBL,2026-03-07 21:55:57+00:00,2026-03-07 21:00:00+00:00
4cada6,ITY078,1772915610,1772920406,LIRF,LEBL,2026-03-07 21:53:26+00:00,2026-03-07 21:00:00+00:00
4b161b,SWR3QA,1772914772,1772920256,LSZH,LEBL,2026-03-07 21:50:56+00:00,2026-03-07 21:00:00+00:00
440018,EJU8067,1772913901,1772920125,EGKK,LEBL,2026-03-07 21:48:45+00:00,2026-03-07 21:00:00+00:00
4ca566,RYR82NF,1772910690,1772919936,LBSF,LEBL,2026-03-07 21:45:36+00:00,2026-03-07 21:00:00+00:00
3444cc,VLG4ZE,1772910210,1772919922,,LEBL,2026-03-07 21:45:22+00:00,2026-03-07 21:00:00+00:00
4cad12,RYR2926,1772913652,1772919757,EBMB,LEBL,2026-03-07 21:42:37+00:00,2026-03-07 21:00:00+00:00
3991e4,AFR93BN,1772914590,1772919647,LFPG,LEBL,2026-03-07 21:40:47+00:00,2026-03-07 21:00:00+00:00
4d2247,RYR2234,1772915502,1772919500,,LEBL,2026-03-07 21:38:20+00:00,2026-03-07 21:00:00+00:00
345043,VLG3919,1772917868,1772919327,LEPA,LEBL,2026-03-07 21:35:27+00:00,2026-03-07 21:00:00+00:00
344697,VLG8541,1772903983,1772919256,,LEBL,2026-03-07 21:34:16+00:00,2026-03-07 21:00:00+00:00
345205,VLG70YJ,1772914796,1772919077,LIRQ,LEBL,2026-03-07 21:31:17+00:00,2026-03-07 21:00:00+00:00
