icao24,callsign,first_seen_unix,last_seen_unix,departure_airport_icao,arrival_airport_icao,observed_arrival_time_utc,observed_arrival_hour_utc
344498,IBS16VB,1772919730,1772927211,,LEMD,2026-03-07 23:46:51+00:00,2026-03-07 23:00:00+00:00
347247,IBS15NQ,1772918736,1772927079,GCXO,LEMD,2026-03-07 23:44:39+00:00,2026-03-07 23:00:00+00:00
48c1a1,RYR9435,1772921821,1772926001,,LEMD,2026-03-07 23:26:41+00:00,2026-03-07 23:00:00+00:00
3e232e,PAV621,1772922110,1772925270,LEBL,LEMD,2026-03-07 23:14:30+00:00,2026-03-07 23:00:00+00:00
344195,ANE3014,1772922816,1772924740,,LEMD,2026-03-07 23:05:40+00:00,2026-03-07 23:00:00+00:00
4cad3e,RYR3GK,1772920577,1772923497,LPPT,LEMD,2026-03-07 22:44:57+00:00,2026-03-07 22:00:00+00:00
4ca805,RYR2PK,1772919184,1772922686,LEPA,LEMD,2026-03-07 22:31:26+00:00,2026-03-07 22:00:00+00:00
a4dca4,GTI8418,1772894095,1772922522,KMIA,LEMD,2026-03-07 22:28:42+00:00,2026-03-07 22:00:00+00:00
48c2ae,RYR47ZP,1772914491,1772922396,EIDW,LEMD,2026-03-07 22:26:36+00:00,2026-03-07 22:00:00+00:00
4caf2b,RYR142G,1772919747,1772922278,LEIB,LEMD,2026-03-07 22:24:38+00:00,2026-03-07 22:00:00+00:00
3c6671,DLH66K,1772915133,1772922123,EDDF,LEMD,2026-03-07 22:22:03+00:00,2026-03-07 22:00:00+00:00
4cafd3,RYR53XQ,1772914759,1772921985,EGSS,LEMD,2026-03-07 22:19:45+00:00,2026-03-07 22:00:00+00:00
347645,IBB31YF,1772914242,1772921903,,LEMD,2026-03-07 22:18:23+00:00,2026-03-07 22:00:00+00:00
aa9451,AVA046,1772893996,1772921773,,LEMD,2026-03-07 22:16:13+00:00,2026-03-07 22:00:00+00:00
49514d,TAP1022,1772918384,1772921691,LPPT,LEMD,2026-03-07 22:14:51+00:00,2026-03-07 22:00:00+00:00
3c5428,BCS6360,1772914572,1772921583,EDDF,LEMD,2026-03-07 22:13:03+00:00,2026-03-07 22:00:00+00:00
4caa61,RYR9CF,1772914056,1772921413,EGBB,LEMD,2026-03-07 22:10:13+00:00,2026-03-07 22:00:00+00:00
3c65cc,DLH09C,1772913892,1772921338,EDDM,LEMD,2026-03-07 22:08:58+00:00,2026-03-07 22:00:00+00:00
392af3,AFR71CG,1772915444,1772921074,LFPG,LEMD,2026-03-07 22:04:34+00:00,2026-03-07 22:00:00+00:00
06a2e1,QTR8831,1772860087,1772920935,VHHH,LEMD,2026-03-07 22:02:15+00:00,2026-03-07 22:00:00+00:00
3453d3,ANE60FB,1772918468,1772920417,,LEMD,2026-03-07 21:53:37+00:00,2026-03-07 21:00:00+00:00
345692,IBE07EA,1772911488,1772920226,LOWW,LEMD,2026-03-07 21:50:26+00:00,2026-03-07 21:00:00+00:00
342105,IBS18FU,1772913376,1772920111,EGKK,LEMD,2026-03-07 21:48:31+00:00,2026-03-07 21:00:00+00:00
34644c,IBS16HK,1772916731,1772920000,LEPA,LEMD,2026-03-07 21:46:40+00:00,2026-03-07 21:00:00+00:00
348401,ANE82FC,1772917033,1772919943,LEAM,LEMD,2026-03-07 21:45:43+00:00,2026-03-07 21:00:00+00:00
347453,IBE07DZ,1772912933,1772919812,EGLL,LEMD,2026-03-07 21:43:32+00:00,2026-03-07 21:00:00+00:00
4ca6a4,RYR9MJ,1772916571,1772919698,GMTT,LEMD,2026-03-07 21:41:38+00:00,2026-03-07 21:00:00+00:00
3452c7,ANE77CN,1772916314,1772919594,LEST,LEMD,2026-03-07 21:39:54+00:00,2026-03-07 21:00:00+00:00
344218,ANE77KX,1772916403,1772919508,LFBO,LEMD,2026-03-07 21:38:28+00:00,2026-03-07 21:00:00+00:00
3451d9,ANE75NV,1772916669,1772919473,LEJR,LEMD,2026-03-07 21:37:53+00:00,2026-03-07 21:00:00+00:00
3452c8,ANE55YK,1772916600,1772919187,LEAL,LEMD,2026-03-07 21:33:07+00:00,2026-03-07 21:00:00+00:00
7da3de,ANE1076,1772916640,1772919180,LEZL,LEMD,2026-03-07 21:33:00+00:00,2026-03-07 21:00:00+00:00
34644e,IBS16ST,1772911599,1772919065,,LEMD,2026-03-07 21:31:05+00:00,2026-03-07 21:00:00+00:00
344449,IBE06ZZ,1772913962,1772919057,LSGG,LEMD,2026-03-07 21:30:57+00:00,2026-03-07 21:00:00+00:00
34324e,IBE0690,1772912505,1772918970,LIRQ,LEMD,2026-03-07 21:29:30+00:00,2026-03-07 21:00:00+00:00
4ca891,RYR62EH,1772915142,1772918945,,LEMD,2026-03-07 21:29:05+00:00,2026-03-07 21:00:00+00:00
345691,IBE06PH,1772911830,1772918859,LIRF,LEMD,2026-03-07 21:27:39+00:00,2026-03-07 21:00:00+00:00
3451da,ANE44EX,1772916258,1772918787,,LEMD,2026-03-07 21:26:27+00:00,2026-03-07 21:00:00+00:00
342104,IBS18VL,1772909798,1772918735,EDDB,LEMD,2026-03-07 21:25:35+00:00,2026-03-07 21:00:00+00:00
348213,IBB96WE,1772910470,1772918671,GCXO,LEMD,2026-03-07 21:24:31+00:00,2026-03-07 21:00:00+00:00
34604c,ANE1344,1772910901,1772918620,EHAM,LEMD,2026-03-07 21:23:40+00:00,2026-03-07 21:00:00+00:00
3485d2,ANE1068,1772915916,1772918544,,LEMD,2026-03-07 21:22:24+00:00,2026-03-07 21:00:00+00:00
3423c4,IBE06LK,1772912410,1772918520,LIML,LEMD,2026-03-07 21:22:00+00:00,2026-03-07 21:00:00+00:00
34640e,IBE07SC,1772911652,1772918427,EGLL,LEMD,2026-03-07 21:20:27+00:00,2026-03-07 21:00:00+00:00
34538e,AEA5038,1772915528,1772918283,LEMG,LEMD,2026-03-07 21:18:03+00:00,2026-03-07 21:00:00+00:00
3445d4,IBE04FB,1772915366,1772918222,LEBL,LEMD,2026-03-07 21:17:02+00:00,2026-03-07 21:00:00+00:00
344487,AEA6096,1772915041,1772918110,,LEMD,2026-03-07 21:15:10+00:00,2026-03-07 21:00:00+00:00
346082,AEA7319,1772915211,1772918095,LEVX,LEMD,2026-03-07 21:14:55+00:00,2026-03-07 21:00:00+00:00
4d224f,RYR8UY,1772913790,1772917976,,LEMD,2026-03-07 21:12:56+00:00,2026-03-07 21:00:00+00:00
346499,IBE07FH,1772910991,1772917870,EGLL,LEMD,2026-03-07 21:11:10+00:00,2026-03-07 21:00:00+00:00
34324f,IBE04YL,1772915615,1772917808,,LEMD,2026-03-07 21:10:08+00:00,2026-03-07 21:00:00+00:00
34750b,AEA72VR,1772914935,1772917750,LPAR,LEMD,2026-03-07 21:09:10+00:00,2026-03-07 21:00:00+00:00
345543,ANE19XR,1772909910,1772917718,EDDM,LEMD,2026-03-07 21:08:38+00:00,2026-03-07 21:00:00+00:00
347309,AEA1142,1772914568,1772917494,LPPR,LEMD,2026-03-07 21:04:54+00:00,2026-03-07 21:00:00+00:00
4cafc1,RYR88SY,1772910545,1772917445,LIPZ,LEMD,2026-03-07 21:04:05+00:00,2026-03-07 21:00:00+00:00
347307,AEA94HP,1772914276,1772917222,LECO,LEMD,2026-03-07 21:00:22+00:00,2026-03-07 21:00:00+00:00
344417,IBE07PR,1772909700,1772917076,EDDL,LEMD,2026-03-07 20:57:56+00:00,2026-03-07 20:00:00+00:00
3420cb,IBE07MB,1772909802,1772916855,EDDF,LEMD,2026-03-07 20:54:15+00:00,2026-03-07 20:00:00+00:00
34448d,IBS1578,1772908475,1772916840,GCXO,LEMD,2026-03-07 20:54:00+00:00,2026-03-07 20:00:00+00:00
34250a,IBE06DW,1772909901,1772916730,LIPZ,LEMD,2026-03-07 20:52:10+00:00,2026-03-07 20:00:00+00:00
782079,CAO3151,1772881843,1772916709,,LEMD,2026-03-07 20:51:49+00:00,2026-03-07 20:00:00+00:00
347344,IBE06VA,1772909987,1772916606,EBMB,LEMD,2026-03-07 20:50:06+00:00,2026-03-07 20:00:00+00:00
347481,AEA71NL,1772914205,1772916484,,LEMD,2026-03-07 20:48:04+00:00,2026-03-07 20:00:00+00:00
4d226e,RYR38XY,1772909021,1772916362,EGSS,LEMD,2026-03-07 20:46:02+00:00,2026-03-07 20:00:00+00:00
4ca646,RYR5UR,1772910377,1772916234,LFOB,LEMD,2026-03-07 20:43:54+00:00,2026-03-07 20:00:00+00:00
4d24ae,WMT838,1772909419,1772916135,LIRF,LEMD,2026-03-07 20:42:15+00:00,2026-03-07 20:00:00+00:00
348084,AEA89JG,1772909025,1772915910,,LEMD,2026-03-07 20:38:30+00:00,2026-03-07 20:00:00+00:00
4ca73b,RYR7BE,1772897253,1772915785,LEMG,LEMD,2026-03-07 20:36:25+00:00,2026-03-07 20:00:00+00:00
346186,IBE06TT,1772908954,1772915678,LSZH,LEMD,2026-03-07 20:34:38+00:00,2026-03-07 20:00:00+00:00
344216,AEA42CL,1772913107,1772915573,LEAL,LEMD,2026-03-07 20:32:53+00:00,2026-03-07 20:00:00+00:00
344341,AEA9117,1772907159,1772915422,GCXO,LEMD,2026-03-07 20:30:22+00:00,2026-03-07 20:00:00+00:00
3964e9,TVF4780,1772909940,1772915409,LFPO,LEMD,2026-03-07 20:30:09+00:00,2026-03-07 20:00:00+00:00
4cac20,RYR32TA,1772909225,1772915262,LIME,LEMD,2026-03-07 20:27:42+00:00,2026-03-07 20:00:00+00:00
347348,AEA7708,1772912311,1772915158,LEBL,LEMD,2026-03-07 20:25:58+00:00,2026-03-07 20:00:00+00:00
348441,AEA1518,1772906949,1772915040,EDDM,LEMD,2026-03-07 20:24:00+00:00,2026-03-07 20:00:00+00:00
344648,IBE06BR,1772908725,1772914945,LIMC,LEMD,2026-03-07 20:22:25+00:00,2026-03-07 20:00:00+00:00
348412,AEA76ZP,1772907301,1772914812,EHAM,LEMD,2026-03-07 20:20:12+00:00,2026-03-07 20:00:00+00:00
344416,IBS1672,1772911424,1772914708,LEPA,LEMD,2026-03-07 20:18:28+00:00,2026-03-07 20:00:00+00:00
4ca643,RYR3WG,1772911698,1772914408,LPPR,LEMD,2026-03-07 20:13:28+00:00,2026-03-07 20:00:00+00:00
348541,AEA85CM,1772907156,1772914244,EDDF,LEMD,2026-03-07 20:10:44+00:00,2026-03-07 20:00:00+00:00
3423c3,IBE0654,1772907351,1772914125,LIRF,LEMD,2026-03-07 20:08:45+00:00,2026-03-07 20:00:00+00:00
34750a,AEA91SM,1772912183,1772914031,LEVC,LEMD,2026-03-07 20:07:11+00:00,2026-03-07 20:00:00+00:00
346204,IBE05RH,1772910840,1772913959,LPPT,LEMD,2026-03-07 20:05:59+00:00,2026-03-07 20:00:00+00:00
345583,ANE52RB,1772907434,1772913659,LIPE,LEMD,2026-03-07 20:00:59+00:00,2026-03-07 20:00:00+00:00
3451d8,ANE3046,1772911186,1772913529,LEZL,LEMD,2026-03-07 19:58:49+00:00,2026-03-07 19:00:00+00:00
34840a,AEA62ZY,1772906582,1772913183,EBMB,LEMD,2026-03-07 19:53:03+00:00,2026-03-07 19:00:00+00:00
344297,AEA42DR,1772907642,1772913039,LFPO,LEMD,2026-03-07 19:50:39+00:00,2026-03-07 19:00:00+00:00
342210,FIN08PL,1772899400,1772912951,EFHK,LEMD,2026-03-07 19:49:11+00:00,2026-03-07 19:00:00+00:00
348402,ANE51JJ,1772908075,1772912874,LFLL,LEMD,2026-03-07 19:47:54+00:00,2026-03-07 19:00:00+00:00
34750f,AEA39VM,1772905670,1772912731,LIPZ,LEMD,2026-03-07 19:45:31+00:00,2026-03-07 19:00:00+00:00
