icao24,callsign,first_seen_unix,last_seen_unix,departure_airport_icao,arrival_airport_icao,observed_arrival_time_utc,observed_arrival_hour_utc
4d22bb,RYR81BE,1772918287,1772926151,EGBB,LEPA,2026-03-07 23:29:11+00:00,2026-03-07 23:00:00+00:00
3472c9,IBS1679,1772921082,1772924006,LEMD,LEPA,2026-03-07 22:53:26+00:00,2026-03-07 22:00:00+00:00
348207,VLG3UY,1772920271,1772923900,,LEPA,2026-03-07 22:51:40+00:00,2026-03-07 22:00:00+00:00
4ca242,RYR26XB,1772921534,1772923374,LEVC,LEPA,2026-03-07 22:42:54+00:00,2026-03-07 22:00:00+00:00
34748b,MEECOAF,1772911494,1772922430,EGGW,LEPA,2026-03-07 22:27:10+00:00,2026-03-07 22:00:00+00:00
4caee5,RYR66UL,1772915232,1772922030,EDDN,LEPA,2026-03-07 22:20:30+00:00,2026-03-07 22:00:00+00:00
345108,VLG89PG,1772917675,1772919295,LEBL,LEPA,2026-03-07 21:34:55+00:00,2026-03-07 21:00:00+00:00
345215,AEA27YK,1772917553,1772919161,LEBL,LEPA,2026-03-07 21:32:41+00:00,2026-03-07 21:00:00+00:00
344295,ANE99HA,1772913079,1772918597,LEPA,LEPA,2026-03-07 21:23:17+00:00,2026-03-07 21:00:00+00:00
4ca911,RYR2JZ,1772909983,1772918566,EDDH,LEPA,2026-03-07 21:22:46+00:00,2026-03-07 21:00:00+00:00
4d22ca,RYR6705,1772911924,1772918406,EBCI,LEPA,2026-03-07 21:20:06+00:00,2026-03-07 21:00:00+00:00
346182,ANE33GP,1772916241,1772916947,,LEPA,2026-03-07 20:55:47+00:00,2026-03-07 20:00:00+00:00
348209,VLG78JV,1772910497,1772915840,LFPO,LEPA,2026-03-07 20:37:20+00:00,2026-03-07 20:00:00+00:00
4ca805,RYR2775,1772912523,1772915666,LEMD,LEPA,2026-03-07 20:34:26+00:00,2026-03-07 20:00:00+00:00
4cadfd,RYR48DL,1772911805,1772913747,LEAL,LEPA,2026-03-07 20:02:27+00:00,2026-03-07 20:00:00+00:00
4ca242,RYR148M,1772906580,1772913508,EDDK,LEPA,2026-03-07 19:58:28+00:00,2026-03-07 19:00:00+00:00
34644c,IBS16ZL,1772909896,1772913113,LEMD,LEPA,2026-03-07 19:51:53+00:00,2026-03-07 19:00:00+00:00
4d2085,EWG4BC,1772904129,1772912197,EDDW,LEPA,2026-03-07 19:36:37+00:00,2026-03-07 19:00:00+00:00
344487,AEA86JZ,1772908366,1772911498,LEMD,LEPA,2026-03-07 19:24:58+00:00,2026-03-07 19:00:00+00:00
407e60,EZY91PQ,1772904372,1772911241,EGKK,LEPA,2026-03-07 19:20:41+00:00,2026-03-07 19:00:00+00:00
34530e,ANE12DM,1772908969,1772910408,LEIB,LEPA,2026-03-07 19:06:48+00:00,2026-03-07 19:00:00+00:00
4d2405,EWG34ZT,1772903791,1772910199,EDDM,LEPA,2026-03-07 19:03:19+00:00,2026-03-07 19:00:00+00:00
342699,SWT7776,1772908526,1772910059,LEIB,LEPA,2026-03-07 19:00:59+00:00,2026-03-07 19:00:00+00:00
4d240c,EWG8CR,1772901699,1772909947,EDDH,LEPA,2026-03-07 18:59:07+00:00,2026-03-07 18:00:00+00:00
344416,IBS1671,1772904443,1772907988,LEMD,LEPA,2026-03-07 18:26:28+00:00,2026-03-07 18:00:00+00:00
345206,VLG15AP,1772905701,1772907898,LEVC,LEPA,2026-03-07 18:24:58+00:00,2026-03-07 18:00:00+00:00
345215,AEA37UJ,1772906233,1772907686,LEBL,LEPA,2026-03-07 18:21:26+00:00,2026-03-07 18:00:00+00:00
3c56ec,EWG4UA,1772899533,1772907499,EDDB,LEPA,2026-03-07 18:18:19+00:00,2026-03-07 18:00:00+00:00
4d2272,RYR2YY,1772899699,1772906615,EDLV,LEPA,2026-03-07 18:03:35+00:00,2026-03-07 18:00:00+00:00
345388,ANE8010,1772902890,1772906532,,LEPA,2026-03-07 18:02:12+00:00,2026-03-07 18:00:00+00:00
4cade4,RYR7883,1772900419,1772906532,EDJA,LEPA,2026-03-07 18:02:12+00:00,2026-03-07 18:00:00+00:00
346184,VLG1WD,1772900342,1772906525,LEST,LEPA,2026-03-07 18:02:05+00:00,2026-03-07 18:00:00+00:00
3c54a5,EWG82HW,1772898990,1772905896,EDDL,LEPA,2026-03-07 17:51:36+00:00,2026-03-07 17:00:00+00:00
346182,ANE44PH,1772903288,1772904833,LEIB,LEPA,2026-03-07 17:33:53+00:00,2026-03-07 17:00:00+00:00
4d22bb,RYR6H,1772899955,1772904442,LEZL,LEPA,2026-03-07 17:27:22+00:00,2026-03-07 17:00:00+00:00
406c80,EXS3YA,1772895094,1772904117,EGNT,LEPA,2026-03-07 17:21:57+00:00,2026-03-07 17:00:00+00:00
4d23fa,RYR2DL,1772899656,1772903279,LEMD,LEPA,2026-03-07 17:07:59+00:00,2026-03-07 17:00:00+00:00
4aca99,NSZ5GT,1772891075,1772903069,ESSA,LEPA,2026-03-07 17:04:29+00:00,2026-03-07 17:00:00+00:00
345043,VLG8ME,1772901405,1772902933,LEBL,LEPA,2026-03-07 17:02:13+00:00,2026-03-07 17:00:00+00:00
48414d,TRA9W,1772895871,1772902798,EHEH,LEPA,2026-03-07 16:59:58+00:00,2026-03-07 16:00:00+00:00
344216,AEA54HL,1772900657,1772902696,LEAL,LEPA,2026-03-07 16:58:16+00:00,2026-03-07 16:00:00+00:00
34750a,,1772899926,1772901894,LEVC,LEPA,2026-03-07 16:44:54+00:00,2026-03-07 16:00:00+00:00
440cbd,FTY14,1772895552,1772901613,LOWI,LEPA,2026-03-07 16:40:13+00:00,2026-03-07 16:00:00+00:00
3c6467,CFG3CE,1772892788,1772901080,EDDH,LEPA,2026-03-07 16:31:20+00:00,2026-03-07 16:00:00+00:00
4ca2c1,RYR40BE,1772893819,1772900905,EDDK,LEPA,2026-03-07 16:28:25+00:00,2026-03-07 16:00:00+00:00
343386,VLG65PB,1772899151,1772900788,LEBL,LEPA,2026-03-07 16:26:28+00:00,2026-03-07 16:00:00+00:00
3c66b5,OCN91D,1772894480,1772900659,EDDM,LEPA,2026-03-07 16:24:19+00:00,2026-03-07 16:00:00+00:00
4caee5,RYR9JV,1772895234,1772900557,LIPH,LEPA,2026-03-07 16:22:37+00:00,2026-03-07 16:00:00+00:00
342699,SWT7774,1772898916,1772900398,LEIB,LEPA,2026-03-07 16:19:58+00:00,2026-03-07 16:00:00+00:00
3483d9,ANE97HQ,1772899315,1772900087,,LEPA,2026-03-07 16:14:47+00:00,2026-03-07 16:00:00+00:00
3c66ba,OCN9P,1772893621,1772899826,EDDF,LEPA,2026-03-07 16:10:26+00:00,2026-03-07 16:00:00+00:00
4d22ca,RYR33UZ,1772893689,1772899643,EDFH,LEPA,2026-03-07 16:07:23+00:00,2026-03-07 16:00:00+00:00
3474da,IBS16HD,1772895861,1772899288,LEMD,LEPA,2026-03-07 16:01:28+00:00,2026-03-07 16:00:00+00:00
3c54a1,EWG3BJ,1772893447,1772899191,EDDS,LEPA,2026-03-07 15:59:51+00:00,2026-03-07 15:00:00+00:00
3442c2,ANE50UC,1772895624,1772897135,LEIB,LEPA,2026-03-07 15:25:35+00:00,2026-03-07 15:00:00+00:00
344695,VLG4VN,1772895510,1772896971,LEBL,LEPA,2026-03-07 15:22:51+00:00,2026-03-07 15:00:00+00:00
344487,AEA97VW,1772893173,1772896616,LEMD,LEPA,2026-03-07 15:16:56+00:00,2026-03-07 15:00:00+00:00
345215,AEA43RQ,1772894281,1772895832,LEBL,LEPA,2026-03-07 15:03:52+00:00,2026-03-07 15:00:00+00:00
345359,VLG1SK,1772893266,1772894939,LEBL,LEPA,2026-03-07 14:48:59+00:00,2026-03-07 14:00:00+00:00
346182,ANE2493,1772893651,1772894421,,LEPA,2026-03-07 14:40:21+00:00,2026-03-07 14:00:00+00:00
44061d,EJU38XQ,1772889874,1772894305,LIMC,LEPA,2026-03-07 14:38:25+00:00,2026-03-07 14:00:00+00:00
4ca911,RYR750B,1772889500,1772893889,LEZL,LEPA,2026-03-07 14:31:29+00:00,2026-03-07 14:00:00+00:00
3430cc,VLG3FW,1772891255,1772893690,LEAL,LEPA,2026-03-07 14:28:10+00:00,2026-03-07 14:00:00+00:00
344498,IBS16UT,1772889810,1772893595,LEMD,LEPA,2026-03-07 14:26:35+00:00,2026-03-07 14:00:00+00:00
48c12f,RYR307M,1772891791,1772893491,LEBL,LEPA,2026-03-07 14:24:51+00:00,2026-03-07 14:00:00+00:00
348209,VLG3NQ,1772888692,1772893376,LEAS,LEPA,2026-03-07 14:22:56+00:00,2026-03-07 14:00:00+00:00
3c66ea,DLH35N,1772887154,1772893310,EDDF,LEPA,2026-03-07 14:21:50+00:00,2026-03-07 14:00:00+00:00
4ca242,RYR8YA,1772890710,1772892763,LEVC,LEPA,2026-03-07 14:12:43+00:00,2026-03-07 14:00:00+00:00
49410b,NJE872L,1772891927,1772892622,,LEPA,2026-03-07 14:10:22+00:00,2026-03-07 14:00:00+00:00
4d2480,VJT473,1772884680,1772891531,EGLF,LEPA,2026-03-07 13:52:11+00:00,2026-03-07 13:00:00+00:00
34530e,ANE48TL,1772890681,1772891399,,LEPA,2026-03-07 13:49:59+00:00,2026-03-07 13:00:00+00:00
4ca646,RYR58QH,1772886967,1772890498,LEMD,LEPA,2026-03-07 13:34:58+00:00,2026-03-07 13:00:00+00:00
3483d9,ANE2531,1772888250,1772890326,LEIB,LEPA,2026-03-07 13:32:06+00:00,2026-03-07 13:00:00+00:00
348207,VLG88BT,1772885701,1772889105,,LEPA,2026-03-07 13:11:45+00:00,2026-03-07 13:00:00+00:00
4b1615,SWR9EB,1772882642,1772888565,LSZH,LEPA,2026-03-07 13:02:45+00:00,2026-03-07 13:00:00+00:00
3e31ea,LEJ330,1772884962,1772888385,,LEPA,2026-03-07 12:59:45+00:00,2026-03-07 12:00:00+00:00
