icao24,callsign,first_seen_unix,last_seen_unix,departure_airport_icao,arrival_airport_icao,observed_departure_time_utc,observed_departure_hour_utc
3461cb,IBE0123,1772927808,1772968679,LEMD,,2026-03-07 23:56:48+00:00,2026-03-07 23:00:00+00:00
34640e,IBE0155,1772927189,1772959199,LEMD,,2026-03-07 23:46:29+00:00,2026-03-07 23:00:00+00:00
347343,IBE0303,1772927049,1772966638,LEMD,MMMX,2026-03-07 23:44:09+00:00,2026-03-07 23:00:00+00:00
346386,IBE0101,1772926936,1772970226,LEMD,SADS,2026-03-07 23:42:16+00:00,2026-03-07 23:00:00+00:00
347692,AEA041,1772926251,1772969565,LEMD,SADS,2026-03-07 23:30:51+00:00,2026-03-07 23:00:00+00:00
34510a,IBE0267,1772925874,1772962503,LEMD,SBGR,2026-03-07 23:24:34+00:00,2026-03-07 23:00:00+00:00
34520e,IBE0169,1772925385,1772964978,LEMD,,2026-03-07 23:16:25+00:00,2026-03-07 23:00:00+00:00
34558f,AEA057,1772925108,1772961679,LEMD,SBGR,2026-03-07 23:11:48+00:00,2026-03-07 23:00:00+00:00
3482d6,AEA175,1772924858,1772965089,LEMD,,2026-03-07 23:07:38+00:00,2026-03-07 23:00:00+00:00
34615a,AEA023,1772924601,1772964149,LEMD,SGNB,2026-03-07 23:03:21+00:00,2026-03-07 23:00:00+00:00
aa9800,AMX022,1772924046,1772963488,LEMD,MMMX,2026-03-07 22:54:06+00:00,2026-03-07 22:00:00+00:00
3cdf15,PVD469H,1772923050,1772925987,LEMD,LEGE,2026-03-07 22:37:30+00:00,2026-03-07 22:00:00+00:00
4ca9c3,RYR6377,1772921920,1772928141,LEMD,EGSS,2026-03-07 22:18:40+00:00,2026-03-07 22:00:00+00:00
345543,ANE1083,1772921550,1772923828,LEMD,LEVC,2026-03-07 22:12:30+00:00,2026-03-07 22:00:00+00:00
4d24ae,WMT4TX,1772921452,1772928238,LEMD,LIRF,2026-03-07 22:10:52+00:00,2026-03-07 22:00:00+00:00
e80473,TAM8065,1772921200,1772957144,LEMD,SBGR,2026-03-07 22:06:40+00:00,2026-03-07 22:00:00+00:00
3472c9,IBS1679,1772921082,1772924006,LEMD,LEPA,2026-03-07 22:04:42+00:00,2026-03-07 22:00:00+00:00
493282,NJE147U,1772920616,1772923519,LEMD,LEMG,2026-03-07 21:56:56+00:00,2026-03-07 21:00:00+00:00
