icao24,callsign,first_seen_unix,last_seen_unix,departure_airport_icao,arrival_airport_icao,observed_departure_time_utc,observed_departure_hour_utc
345108,VLG44NP,1772922737,1772924307,LEPA,LEBL,2026-03-07 22:32:17+00:00,2026-03-07 22:00:00+00:00
3442c2,ANE001,1772919783,1772922081,LEPA,LEVC,2026-03-07 21:43:03+00:00,2026-03-07 21:00:00+00:00
4ca805,RYR2PK,1772919184,1772922686,LEPA,LEMD,2026-03-07 21:33:04+00:00,2026-03-07 21:00:00+00:00
345043,VLG3919,1772917868,1772919327,LEPA,LEBL,2026-03-07 21:11:08+00:00,2026-03-07 21:00:00+00:00
4cadfd,RYR36,1772917654,1772920270,LEPA,LEAL,2026-03-07 21:07:34+00:00,2026-03-07 21:00:00+00:00
4ca242,RYR72QV,1772917000,1772919085,LEPA,LEVC,2026-03-07 20:56:40+00:00,2026-03-07 20:00:00+00:00
34644c,IBS16HK,1772916731,1772920000,LEPA,LEMD,2026-03-07 20:52:11+00:00,2026-03-07 20:00:00+00:00
4cae58,RYR1XF,1772915741,1772919861,LEPA,LEMG,2026-03-07 20:35:41+00:00,2026-03-07 20:00:00+00:00
3483d9,ANE2496,1772913494,1772914334,LEPA,,2026-03-07 19:58:14+00:00,2026-03-07 19:00:00+00:00
342699,SWT7777,1772913333,1772914567,LEPA,,2026-03-07 19:55:33+00:00,2026-03-07 19:00:00+00:00
4d224d,RYR9JP,1772913221,1772925853,LEPA,ESSA,2026-03-07 19:53:41+00:00,2026-03-07 19:00:00+00:00
344295,ANE99HA,1772913079,1772918597,LEPA,LEPA,2026-03-07 19:51:19+00:00,2026-03-07 19:00:00+00:00
348207,VLG73SA,1772912980,1772915900,LEPA,,2026-03-07 19:49:40+00:00,2026-03-07 19:00:00+00:00
3c56ec,EWG81A,1772912100,1772920416,LEPA,EDDB,2026-03-07 19:35:00+00:00,2026-03-07 19:00:00+00:00
344416,IBS1672,1772911424,1772914708,LEPA,LEMD,2026-03-07 19:23:44+00:00,2026-03-07 19:00:00+00:00
4d2272,RYR94HC,1772911293,1772918083,LEPA,EDLV,2026-03-07 19:21:33+00:00,2026-03-07 19:00:00+00:00
3c54a5,EWG6RU,1772911150,1772917737,LEPA,EDDL,2026-03-07 19:19:10+00:00,2026-03-07 19:00:00+00:00
346182,ANE57HM,1772910238,1772911139,LEPA,,2026-03-07 19:03:58+00:00,2026-03-07 19:00:00+00:00
4cade4,RYR658E,1772910143,1772916185,LEPA,EDJA,2026-03-07 19:02:23+00:00,2026-03-07 19:00:00+00:00
