airport_icao,weather_hour_utc,temperature_2m_c,relative_humidity_2m_pct,precipitation_mm,wind_speed_10m_kmh
LEBL,2026-03-07 00:00:00+00:00,12.2,95,0.1,19.3
LEBL,2026-03-07 01:00:00+00:00,12.2,95,7.6,18.2
LEBL,2026-03-07 02:00:00+00:00,11.9,96,2.5,17.1
LEBL,2026-03-07 03:00:00+00:00,11.9,97,4.8,12.3
LEBL,2026-03-07 04:00:00+00:00,11.4,95,3.5,14.5
LEBL,2026-03-07 05:00:00+00:00,11.6,91,2.3,6.1
LEBL,2026-03-07 06:00:00+00:00,11.4,90,0.0,2.3
LEBL,2026-03-07 07:00:00+00:00,11.6,89,0.1,1.2
LEBL,2026-03-07 08:00:00+00:00,13.1,89,0.0,3.3
LEBL,2026-03-07 09:00:00+00:00,13.9,76,0.3,7.4
LEBL,2026-03-07 10:00:00+00:00,13.7,76,0.1,6.5
LEBL,2026-03-07 11:00:00+00:00,14.3,71,0.1,5.0
LEBL,2026-03-07 12:00:00+00:00,13.7,77,0.1,8.8
LEBL,2026-03-07 13:00:00+00:00,13.5,76,0.0,11.2
LEBL,2026-03-07 14:00:00+00:00,12.4,79,0.6,11.0
LEBL,2026-03-07 15:00:00+00:00,12.1,81,0.7,7.2
LEBL,2026-03-07 16:00:00+00:00,11.6,85,0.6,6.3
LEBL,2026-03-07 17:00:00+00:00,11.2,91,0.4,5.2
LEBL,2026-03-07 18:00:00+00:00,10.8,97,0.0,6.3
LEBL,2026-03-07 19:00:00+00:00,10.8,96,0.3,10.2
LEBL,2026-03-07 20:00:00+00:00,10.4,95,0.0,7.7
LEBL,2026-03-07 21:00:00+00:00,10.2,94,0.0,8.7
LEBL,2026-03-07 22:00:00+00:00,10.2,93,0.0,8.9
LEBL,2026-03-07 23:00:00+00:00,10.1,91,0.0,9.0
