airport_icao,weather_hour_utc,temperature_2m_c,relative_humidity_2m_pct,precipitation_mm,wind_speed_10m_kmh
LEMD,2026-03-07 00:00:00+00:00,8.8,74,0.1,17.2
LEMD,2026-03-07 01:00:00+00:00,8.2,77,0.2,15.8
LEMD,2026-03-07 02:00:00+00:00,7.8,79,0.3,14.0
LEMD,2026-03-07 03:00:00+00:00,7.3,82,0.3,11.7
LEMD,2026-03-07 04:00:00+00:00,7.1,80,0.0,10.2
LEMD,2026-03-07 05:00:00+00:00,7.2,78,0.0,11.4
LEMD,2026-03-07 06:00:00+00:00,7.3,78,0.1,11.2
LEMD,2026-03-07 07:00:00+00:00,6.9,80,0.0,11.5
LEMD,2026-03-07 08:00:00+00:00,8.3,75,0.0,14.0
LEMD,2026-03-07 09:00:00+00:00,9.4,70,0.0,15.6
LEMD,2026-03-07 10:00:00+00:00,9.3,72,0.1,14.7
LEMD,2026-03-07 11:00:00+00:00,9.8,74,0.3,13.6
LEMD,2026-03-07 12:00:00+00:00,8.6,90,0.3,10.0
LEMD,2026-03-07 13:00:00+00:00,9.4,84,0.7,7.8
LEMD,2026-03-07 14:00:00+00:00,10.6,74,0.1,5.4
LEMD,2026-03-07 15:00:00+00:00,11.0,69,0.0,2.0
LEMD,2026-03-07 16:00:00+00:00,11.1,65,0.1,3.1
LEMD,2026-03-07 17:00:00+00:00,10.9,68,0.0,5.8
LEMD,2026-03-07 18:00:00+00:00,9.3,81,0.0,4.7
LEMD,2026-03-07 19:00:00+00:00,8.5,86,0.0,7.7
LEMD,2026-03-07 20:00:00+00:00,7.8,87,0.0,6.6
LEMD,2026-03-07 21:00:00+00:00,7.3,89,0.0,8.3
LEMD,2026-03-07 22:00:00+00:00,6.4,90,0.0,9.4
LEMD,2026-03-07 23:00:00+00:00,5.8,91,0.0,8.3
